STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD...4,MANUAL_CHECK,CHEMICAL_ID,CHEMICAL_NAME,INCHIKEY_STANDARD...8,same_inchikey,Select_CHEMICAL_ID,Select_INCHIKEY,inchikey
Nikkel,Stressor,7440-02-0,PXHVJJICTQNCMI-UHFFFAOYSA-N,SAW,42041,nickel,PXHVJJICTQNCMI-UHFFFAOYSA-N,TRUE,42041,PXHVJJICTQNCMI-UHFFFAOYSA-N,PXHVJJICTQNCMI-UHFFFAOYSA-N
Kobber,Stressor,7440-50-8,RYGMFSIKBFXOCR-UHFFFAOYSA-N,SAW,42042,copper,RYGMFSIKBFXOCR-UHFFFAOYSA-N,TRUE,42042,RYGMFSIKBFXOCR-UHFFFAOYSA-N,RYGMFSIKBFXOCR-UHFFFAOYSA-N
PBDE100,Stressor,189084-64-8,NSKIRYMHNFTRLR-UHFFFAOYSA-N,SAW,25169,"2,2',4,4',6-pentabromodiphenyl ether",NSKIRYMHNFTRLR-UHFFFAOYSA-N,TRUE,25169,NSKIRYMHNFTRLR-UHFFFAOYSA-N,NSKIRYMHNFTRLR-UHFFFAOYSA-N
PBDE154,Stressor,207122-15-4,VHNPZYZQKWIWOD-UHFFFAOYSA-N,SAW,25205,"2,2',4,4',5,6'-hexabromodiphenyl ether",VHNPZYZQKWIWOD-UHFFFAOYSA-N,TRUE,25205,VHNPZYZQKWIWOD-UHFFFAOYSA-N,VHNPZYZQKWIWOD-UHFFFAOYSA-N
PBDE49,Stressor,243982-82-3,QWVDUBDYUPHNHY-UHFFFAOYSA-N,SAW,25245,"2,2',4,5'-tetrabromodiphenyl ether",QWVDUBDYUPHNHY-UHFFFAOYSA-N,TRUE,25245,QWVDUBDYUPHNHY-UHFFFAOYSA-N,QWVDUBDYUPHNHY-UHFFFAOYSA-N
Bor,Stressor,7440-42-8,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,SAW,24604,boron,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,TRUE,24604,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,ZOXJGFHDIHLPTG-UHFFFAOYSA-N
HxCDD (D67),Stressor,57653-85-7,YCLUIPQDHHPDJJ-UHFFFAOYSA-N,SAW,23797,"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin",YCLUIPQDHHPDJJ-UHFFFAOYSA-N,TRUE,23797,YCLUIPQDHHPDJJ-UHFFFAOYSA-N,YCLUIPQDHHPDJJ-UHFFFAOYSA-N
HxCDF (F124),Stressor,72918-21-9,PYUSJFJVDVSXIU-UHFFFAOYSA-N,SAW,23822,"1,2,3,7,8,9-hexachlorodibenzofuran",PYUSJFJVDVSXIU-UHFFFAOYSA-N,TRUE,23822,PYUSJFJVDVSXIU-UHFFFAOYSA-N,PYUSJFJVDVSXIU-UHFFFAOYSA-N
"1,2,3-trimetylnaftalen",Stressor,879-12-9,RQHPYGROUIBUSW-UHFFFAOYSA-N,SAW,106798,"1,2,3-trimethylnaphthalene",RQHPYGROUIBUSW-UHFFFAOYSA-N,TRUE,106798,RQHPYGROUIBUSW-UHFFFAOYSA-N,RQHPYGROUIBUSW-UHFFFAOYSA-N
"Perfluor-3,7-dimetyloktansyre (PF-3,7-DMOA)",Stressor,172155-07-6,KZUSAXRVIONPJU-UHFFFAOYSA-N,SAW,222463,"2,2,3,4,4,5,5,6,6,7,8,8,8-tridecafluoro-3,7-bis(trifluoromethyl)octanoic acid",KZUSAXRVIONPJU-UHFFFAOYSA-N,TRUE,222463,KZUSAXRVIONPJU-UHFFFAOYSA-N,KZUSAXRVIONPJU-UHFFFAOYSA-N
Perfluoroktansulfonamid eddiksyre (FOSAA),Stressor,2806-24-8,AYLOUUCBACYHAB-UHFFFAOYSA-N,SAW,294436,"2-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonylamino)acetic acid",AYLOUUCBACYHAB-UHFFFAOYSA-N,TRUE,294436,AYLOUUCBACYHAB-UHFFFAOYSA-N,AYLOUUCBACYHAB-UHFFFAOYSA-N
PBDE184,Stressor,117948-63-7,JHDCZVAQPRXHEL-UHFFFAOYSA-N,SAW,302291,"2,2',3,4,4',6,6'-heptabromodiphenyl ether",JHDCZVAQPRXHEL-UHFFFAOYSA-N,TRUE,302291,JHDCZVAQPRXHEL-UHFFFAOYSA-N,JHDCZVAQPRXHEL-UHFFFAOYSA-N
PBDE207,Stressor,437701-79-6,IEEVDIAVLGLVOW-UHFFFAOYSA-N,SAW,305685,"2,2',3,3',4,4',5,6,6'-nonabromodiphenyl ether",IEEVDIAVLGLVOW-UHFFFAOYSA-N,TRUE,305685,IEEVDIAVLGLVOW-UHFFFAOYSA-N,IEEVDIAVLGLVOW-UHFFFAOYSA-N
PBDE126,Stressor,366791-32-4,SJNIIWPIAVQNRK-UHFFFAOYSA-N,SAW,386659,"3,3',4,4',5-pentabromodiphenyl ether",SJNIIWPIAVQNRK-UHFFFAOYSA-N,TRUE,386659,SJNIIWPIAVQNRK-UHFFFAOYSA-N,SJNIIWPIAVQNRK-UHFFFAOYSA-N
PBDE191,Stressor,446255-30-7,BNBFKFHSIPERIM-UHFFFAOYSA-N,SAW,502298,"2,3,3',4,4',5',6-heptabromodiphenyl ether",BNBFKFHSIPERIM-UHFFFAOYSA-N,TRUE,502298,BNBFKFHSIPERIM-UHFFFAOYSA-N,BNBFKFHSIPERIM-UHFFFAOYSA-N
Kvikksølv,Stressor,7439-97-6,QSHDDOUJBYECFT-UHFFFAOYSA-N,SAW,569142,mercury,QSHDDOUJBYECFT-UHFFFAOYSA-N,TRUE,569142,QSHDDOUJBYECFT-UHFFFAOYSA-N,QSHDDOUJBYECFT-UHFFFAOYSA-N
Dodekametylsykloheksasiloksan (D6),Stressor,540-97-6,IUMSDRXLFWAGNT-UHFFFAOYSA-N,SAW,573398,dodecamethylcyclohexasiloxane,IUMSDRXLFWAGNT-UHFFFAOYSA-N,TRUE,573398,IUMSDRXLFWAGNT-UHFFFAOYSA-N,IUMSDRXLFWAGNT-UHFFFAOYSA-N
Perfluordodekansulfonsyre (PFDoS),Stressor,79780-39-5,CFCRODHVHXGTPC-UHFFFAOYSA-N,SAW,582751,pentacosafluorododecane-1-sulfonic acid,CFCRODHVHXGTPC-UHFFFAOYSA-N,TRUE,582751,CFCRODHVHXGTPC-UHFFFAOYSA-N,CFCRODHVHXGTPC-UHFFFAOYSA-N
PBDE17,Stressor,147217-75-2,VYBFILXLBMWOLI-UHFFFAOYSA-N,SAW,583549,"2,2',4-tribromodiphenyl ether",VYBFILXLBMWOLI-UHFFFAOYSA-N,TRUE,583549,VYBFILXLBMWOLI-UHFFFAOYSA-N,VYBFILXLBMWOLI-UHFFFAOYSA-N
7H-dodekafluorheptansyre (HPFHpA),Stressor,1546-95-8,JZHDEEOTEUVLHR-UHFFFAOYSA-N,SAW,585712,"2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoic acid",JZHDEEOTEUVLHR-UHFFFAOYSA-N,TRUE,585712,JZHDEEOTEUVLHR-UHFFFAOYSA-N,JZHDEEOTEUVLHR-UHFFFAOYSA-N
Perfluornonansulfonsyre (PFNS),Stressor,17202-41-4,CCLOSADEZDSARB-UHFFFAOYSA-N,SAW,590513,"azane;1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluorononane-1-sulfonic acid",CCLOSADEZDSARB-UHFFFAOYSA-N,TRUE,590513,CCLOSADEZDSARB-UHFFFAOYSA-N,UCFPQVRNAZMYMC-UHFFFAOYSA-N
PBDE85,Stressor,182346-21-0,DMLQSUZPTTUUDP-UHFFFAOYSA-N,SAW,586653,"2,2',3,4,4'-pentabromodiphenyl ether",DMLQSUZPTTUUDP-UHFFFAOYSA-N,TRUE,586653,DMLQSUZPTTUUDP-UHFFFAOYSA-N,DMLQSUZPTTUUDP-UHFFFAOYSA-N
Perfluorpentansulfonsyre (PFPS),Stressor,2706-91-4,ACEKLXZRZOWKRY-UHFFFAOYSA-N,SAW,603925,perfluoropentane-1-sulphonic acid,ACEKLXZRZOWKRY-UHFFFAOYSA-N,TRUE,603925,ACEKLXZRZOWKRY-UHFFFAOYSA-N,GIJSDXXWCVQKQM-UHFFFAOYSA-N
Jern(II),Stressor,15438-31-0,CWYNVVGOOAEACU-UHFFFAOYSA-N,SAW,607378,iron(2+),CWYNVVGOOAEACU-UHFFFAOYSA-N,TRUE,607378,CWYNVVGOOAEACU-UHFFFAOYSA-N,CWYNVVGOOAEACU-UHFFFAOYSA-N
Tinn,Stressor,7440-31-5,ATJFFYVFTNAWJD-UHFFFAOYSA-N,SAW,614814,lambda2-stannane,OLGIDLDDXHSYFE-UHFFFAOYSA-N,FALSE,NA,ATJFFYVFTNAWJD-UHFFFAOYSA-N,ATJFFYVFTNAWJD-UHFFFAOYSA-N
"indeno(1,2,3-cd)perylen",Stressor,101686-49-1,YTUILTQRCVAYNB-UHFFFAOYSA-N,SAW,621564,"heptacyclo[12.9.2.12,6.011,24.015,20.021,25.010,26]hexacosa-1(24),2,4,6(26),7,9,11,13,15,17,19,21(25),22-tridecaene",YTUILTQRCVAYNB-UHFFFAOYSA-N,TRUE,621564,YTUILTQRCVAYNB-UHFFFAOYSA-N,YTUILTQRCVAYNB-UHFFFAOYSA-N
PBDE66,Stressor,189084-61-5,DHUMTYRHKMCVAG-UHFFFAOYSA-N,SAW,637150,"2,3',4,4'-tetrabromodiphenyl ether",DHUMTYRHKMCVAG-UHFFFAOYSA-N,TRUE,637150,DHUMTYRHKMCVAG-UHFFFAOYSA-N,DHUMTYRHKMCVAG-UHFFFAOYSA-N
Aldrin,Stressor,309-00-2,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,SAW,653435,aldrin,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,TRUE,653435,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,QBYJBZPUGVGKQQ-VFBQXPTHSA-N
Thallium,Stressor,7440-28-0,BKVIYDNLLOSFOA-UHFFFAOYSA-N,SAW,656854,lambda1-thallane,YWUHBIFVNJARPY-UHFFFAOYSA-N,FALSE,NA,BKVIYDNLLOSFOA-UHFFFAOYSA-N,BKVIYDNLLOSFOA-UHFFFAOYSA-N
PBDE196,Stressor,446255-38-5,GPQLSLKPHQEEOP-UHFFFAOYSA-N,SAW,667205,"1,2,3,4,5-pentabromo-6-(2,3,4-tribromophenoxy)benzene",GPQLSLKPHQEEOP-UHFFFAOYSA-N,TRUE,667205,GPQLSLKPHQEEOP-UHFFFAOYSA-N,GPQLSLKPHQEEOP-UHFFFAOYSA-N
N-metyl perfluoroktansulfonamido eddiksyre (Me-FOSAA),Stressor,2355-31-9,QNDHIRFIMVNHBN-UHFFFAOYSA-N,SAW,673160,n-methylperfluorooctane sulfonamidoacetic acid,QNDHIRFIMVNHBN-UHFFFAOYSA-N,TRUE,673160,QNDHIRFIMVNHBN-UHFFFAOYSA-N,QNDHIRFIMVNHBN-UHFFFAOYSA-N
N-metyl perfluoroktansulfonamid etanol (N-MeFOSE),Stressor,24448-09-7,PLGACQRCZCVKGK-UHFFFAOYSA-N,SAW,709326,n-methylperfluorooctanesulfonamidoethanol,PLGACQRCZCVKGK-UHFFFAOYSA-N,TRUE,709326,PLGACQRCZCVKGK-UHFFFAOYSA-N,PLGACQRCZCVKGK-UHFFFAOYSA-N
Perfluordekansulfonsyre ammoniumsalt (PFDcS),Stressor,67906-42-7,KVTQOQYMILOCBD-UHFFFAOYSA-N,SAW,729064,"ammonium 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-henicosafluoro-1-decanesulfonate",KVTQOQYMILOCBD-UHFFFAOYSA-N,TRUE,729064,KVTQOQYMILOCBD-UHFFFAOYSA-N,KVTQOQYMILOCBD-UHFFFAOYSA-N
N-etyl perfluoroktansulfonamid etanol (N-EtFOSE),Stressor,1691-99-2,HUFHNYZNTFSKCT-UHFFFAOYSA-N,SAW,735789,2-(n-ethylperfluoro-1-octanesulfonamido)ethanol,HUFHNYZNTFSKCT-UHFFFAOYSA-N,TRUE,735789,HUFHNYZNTFSKCT-UHFFFAOYSA-N,HUFHNYZNTFSKCT-UHFFFAOYSA-N
Perfluortetradekansyre (PFTeDA),Stressor,376-06-7,RUDINRUXCKIXAJ-UHFFFAOYSA-N,SAW,738676,perfluorotetradecanoic acid,RUDINRUXCKIXAJ-UHFFFAOYSA-N,TRUE,738676,RUDINRUXCKIXAJ-UHFFFAOYSA-N,RUDINRUXCKIXAJ-UHFFFAOYSA-N
PBDE197,Stressor,117964-21-3,AAFUUKPTSPVXJH-UHFFFAOYSA-N,SAW,744240,"2,2',3,3',4,4',6,6'-octabromodiphenyl ether",AAFUUKPTSPVXJH-UHFFFAOYSA-N,TRUE,744240,AAFUUKPTSPVXJH-UHFFFAOYSA-N,AAFUUKPTSPVXJH-UHFFFAOYSA-N
Vismut,Stressor,7440-69-9,JCXGWMGPZLAOME-UHFFFAOYSA-N,SAW,749908,bismuthane,BPBOBPIKWGUSQG-UHFFFAOYSA-N,FALSE,NA,JCXGWMGPZLAOME-UHFFFAOYSA-N,JCXGWMGPZLAOME-UHFFFAOYSA-N
N-etyl perfluoroktansulfonamid eddiksyre (Et-FOSAA),Stressor,2991-50-6,CKRXVVGETMYFIO-UHFFFAOYSA-N,SAW,749374,"2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]acetic acid",CKRXVVGETMYFIO-UHFFFAOYSA-N,TRUE,749374,CKRXVVGETMYFIO-UHFFFAOYSA-N,CKRXVVGETMYFIO-UHFFFAOYSA-N
HpCDF (F131),Stressor,67562-39-4,WDMKCPIVJOGHBF-UHFFFAOYSA-N,SAW,797218,"1,2,3,4,6,7,8-heptachlorodibenzofuran",WDMKCPIVJOGHBF-UHFFFAOYSA-N,TRUE,797218,WDMKCPIVJOGHBF-UHFFFAOYSA-N,WDMKCPIVJOGHBF-UHFFFAOYSA-N
Perfluorheptansulfonsyre (PFHpS),Stressor,375-92-8,OYGQVDSRYXATEL-UHFFFAOYSA-N,SAW,804646,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-1-heptanesulfonic acid",OYGQVDSRYXATEL-UHFFFAOYSA-N,TRUE,804646,OYGQVDSRYXATEL-UHFFFAOYSA-N,JLFQDMRSLOGEKF-UHFFFAOYSA-N
N-metyl oktansulfonamid (N-MeFOSA),Stressor,31506-32-8,SRMWNTGHXHOWBT-UHFFFAOYSA-N,SAW,802314,heptadecafluoro-n-methyloctanesulphonamide,SRMWNTGHXHOWBT-UHFFFAOYSA-N,TRUE,802314,SRMWNTGHXHOWBT-UHFFFAOYSA-N,SRMWNTGHXHOWBT-UHFFFAOYSA-N
Lindan (g-HCH),Stressor,58-89-9,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,SAW,822508,Lindane,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,TRUE,822508,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,JLYXXMFPNIAWKQ-GNIYUCBRSA-N
Perfluorheksansulfonsyre (PFHxS),Stressor,355-46-4,QZHDEAJFRJCDMF-UHFFFAOYSA-N,SAW,1860155,perfluorohexanesulfonic acid,QZHDEAJFRJCDMF-UHFFFAOYSA-N,TRUE,1860155,QZHDEAJFRJCDMF-UHFFFAOYSA-N,QZHDEAJFRJCDMF-UHFFFAOYSA-N
Heptaklorepoksid,Stressor,1024-57-3,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,SAW,1856650,heptachlor epoxide,ZXFXBSWRVIQKOD-UHFFFAOYSA-N,FALSE,NA,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,ZXFXBSWRVIQKOD-UHFFFAOYSA-N
Dieldrin,Stressor,60-57-1,DFBKLUNHFCTMDC-PICURKEMSA-N,SAW,1829352,dieldrin,DFBKLUNHFCTMDC-PICURKEMSA-N,TRUE,1829352,DFBKLUNHFCTMDC-PICURKEMSA-N,DFBKLUNHFCTMDC-YITDPULNSA-N
Perfluortridekansyre (PFTrDA),Stressor,72629-94-8,LVDGGZAZAYHXEY-UHFFFAOYSA-N,SAW,2104501,pentacosafluorotridecanoic acid,LVDGGZAZAYHXEY-UHFFFAOYSA-N,TRUE,2104501,LVDGGZAZAYHXEY-UHFFFAOYSA-N,LVDGGZAZAYHXEY-UHFFFAOYSA-N
Tinn,Stressor,7440-31-5,ATJFFYVFTNAWJD-UHFFFAOYSA-N,SAW,2500003,tin,ATJFFYVFTNAWJD-UHFFFAOYSA-N,TRUE,2500003,ATJFFYVFTNAWJD-UHFFFAOYSA-N,ATJFFYVFTNAWJD-UHFFFAOYSA-N
Beryllium,Stressor,7440-41-7,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,SAW,2519031,beryllium,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,TRUE,2519031,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,ATBAMAFKBVZNFJ-UHFFFAOYSA-N
PBDE156,Stressor,35854-94-5,HRSCBOSGEKXXSI-UHFFFAOYSA-N,SAW,2563862,"1,3,5-tribromo-2-(2,4,6-tribromophenoxy)benzene",HRSCBOSGEKXXSI-UHFFFAOYSA-N,TRUE,2563862,HRSCBOSGEKXXSI-UHFFFAOYSA-N,HRSCBOSGEKXXSI-UHFFFAOYSA-N
PBDE119,Stressor,189084-66-0,KXEOYBYEJCRPGB-UHFFFAOYSA-N,SAW,2588158,"2,3',4,4',6-pentabromodiphenyl ether",KXEOYBYEJCRPGB-UHFFFAOYSA-N,TRUE,2588158,KXEOYBYEJCRPGB-UHFFFAOYSA-N,KXEOYBYEJCRPGB-UHFFFAOYSA-N
Barium,Stressor,7440-39-3,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,SAW,2602335,barium dihydride,MUBOSUMMMUSVEO-UHFFFAOYSA-N,FALSE,NA,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,DSAJWYNOEDNPEQ-UHFFFAOYSA-N
Natrium,Stressor,7440-23-5,KEAYESYHFKHZAL-UHFFFAOYSA-N,SAW,2601077,sodium hydride,MPMYQQHEHYDOCL-UHFFFAOYSA-N,FALSE,NA,KEAYESYHFKHZAL-UHFFFAOYSA-N,FKNQFGJONOIPTF-UHFFFAOYSA-N
Indium,Stressor,7440-74-6,APFVFJFRJDLVQX-UHFFFAOYSA-N,SAW,2511985,indium,APFVFJFRJDLVQX-UHFFFAOYSA-N,TRUE,2511985,APFVFJFRJDLVQX-UHFFFAOYSA-N,APFVFJFRJDLVQX-UHFFFAOYSA-N
Sink,Stressor,7440-66-6,HCHKCACWOHOZIP-UHFFFAOYSA-N,SAW,2512040,zinc,HCHKCACWOHOZIP-UHFFFAOYSA-N,TRUE,2512040,HCHKCACWOHOZIP-UHFFFAOYSA-N,PTFCDOFLOPIGGS-UHFFFAOYSA-N
"1H,1H,2H,2H-perfluordekansulfonsyre (8:2 FTS)",Stressor,39108-34-4,ALVYVCQIFHTIRD-UHFFFAOYSA-N,SAW,2516984,2-(perfluorooctyl)ethane-1-sulfonic acid,ALVYVCQIFHTIRD-UHFFFAOYSA-N,TRUE,2516984,ALVYVCQIFHTIRD-UHFFFAOYSA-N,ALVYVCQIFHTIRD-UHFFFAOYSA-N
PBDE138,Stressor,182677-30-1,IZFQCEZFGCMHOM-UHFFFAOYSA-N,SAW,2573674,"2,2',3,4,4',5'-hexabromodiphenyl ether",IZFQCEZFGCMHOM-UHFFFAOYSA-N,TRUE,2573674,IZFQCEZFGCMHOM-UHFFFAOYSA-N,IZFQCEZFGCMHOM-UHFFFAOYSA-N
Natrium,Stressor,7440-23-5,KEAYESYHFKHZAL-UHFFFAOYSA-N,SAW,2582596,sodium,KEAYESYHFKHZAL-UHFFFAOYSA-N,TRUE,2582596,KEAYESYHFKHZAL-UHFFFAOYSA-N,FKNQFGJONOIPTF-UHFFFAOYSA-N
Rubidium,Stressor,7440-17-7,IGLNJRXAVVLDKE-UHFFFAOYSA-N,SAW,2568177,rubidium,IGLNJRXAVVLDKE-UHFFFAOYSA-N,TRUE,2568177,IGLNJRXAVVLDKE-UHFFFAOYSA-N,IGLNJRXAVVLDKE-UHFFFAOYSA-N
o-Xylen,Stressor,95-47-6,CTQNGGLPUBDAKN-UHFFFAOYSA-N,SAW,2534299,o-xylene,CTQNGGLPUBDAKN-UHFFFAOYSA-N,TRUE,2534299,CTQNGGLPUBDAKN-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N
Barium,Stressor,7440-39-3,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,SAW,2541264,barium,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,TRUE,2541264,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,DSAJWYNOEDNPEQ-UHFFFAOYSA-N
Cesium,Stressor,7440-46-2,TVFDJXOCXUVLDH-UHFFFAOYSA-N,SAW,2543381,cesium monohydride,DZAHJQXPLPNTCE-UHFFFAOYSA-N,FALSE,NA,TVFDJXOCXUVLDH-UHFFFAOYSA-N,TVFDJXOCXUVLDH-UHFFFAOYSA-N
Gallium,Stressor,7440-55-3,GYHNNYVSQQEPJS-UHFFFAOYSA-N,SAW,2558153,gallium,GYHNNYVSQQEPJS-UHFFFAOYSA-N,TRUE,2558153,GYHNNYVSQQEPJS-UHFFFAOYSA-N,GYHNNYVSQQEPJS-UHFFFAOYSA-N
PBDE71,Stressor,189084-62-6,COPAGYRSCJVION-UHFFFAOYSA-N,SAW,2532830,"2,3',4',6-Tetrabromodiphenyl ether",COPAGYRSCJVION-UHFFFAOYSA-N,TRUE,2532830,COPAGYRSCJVION-UHFFFAOYSA-N,COPAGYRSCJVION-UHFFFAOYSA-N
g-HBCDD,Stressor,134237-52-8,DEIGXXQKDWULML-MOCCIAMBSA-N,SAW,2537313,11i055k0bp,DEIGXXQKDWULML-MOCCIAMBSA-N,TRUE,2537313,DEIGXXQKDWULML-MOCCIAMBSA-N,NA
a-HBCDD,Stressor,134237-50-6,DEIGXXQKDWULML-PQTSNVLCSA-N,SAW,2537314,alpha-hexabromocyclododecane,DEIGXXQKDWULML-PQTSNVLCSA-N,TRUE,2537314,DEIGXXQKDWULML-PQTSNVLCSA-N,NA
b-HBCDD,Stressor,134237-51-7,DEIGXXQKDWULML-UFVWWTPHSA-N,SAW,2537315,beta-hexabromocyclododecane,DEIGXXQKDWULML-UFVWWTPHSA-N,TRUE,2537315,DEIGXXQKDWULML-UFVWWTPHSA-N,NA
Litium,Stressor,7439-93-2,WHXSMMKQMYFTQS-UHFFFAOYSA-N,SAW,2668842,lithium,WHXSMMKQMYFTQS-UHFFFAOYSA-N,TRUE,2668842,WHXSMMKQMYFTQS-UHFFFAOYSA-N,WHXSMMKQMYFTQS-UHFFFAOYSA-N
Rubidium,Stressor,7440-17-7,IGLNJRXAVVLDKE-UHFFFAOYSA-N,SAW,2652270,rubidium monohydride,UCYFRLNGKNNHBD-UHFFFAOYSA-N,FALSE,NA,IGLNJRXAVVLDKE-UHFFFAOYSA-N,IGLNJRXAVVLDKE-UHFFFAOYSA-N
Endrin,Stressor,72-20-8,DFBKLUNHFCTMDC-GKRDHZSOSA-N,SAW,2697192,endrin,DFBKLUNHFCTMDC-HHKPKUIASA-N,FALSE,NA,DFBKLUNHFCTMDC-GKRDHZSOSA-N,DFBKLUNHFCTMDC-UHFFFAOYSA-N
Gallium,Stressor,7440-55-3,GYHNNYVSQQEPJS-UHFFFAOYSA-N,SAW,2621463,gallane,PHMDYZQXPPOZDG-UHFFFAOYSA-N,FALSE,NA,GYHNNYVSQQEPJS-UHFFFAOYSA-N,GYHNNYVSQQEPJS-UHFFFAOYSA-N
Kalium,Stressor,7440-09-7,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,SAW,2609840,potassium hydride,NTTOTNSKUYCDAV-UHFFFAOYSA-N,FALSE,NA,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,NPYPAHLBTDXSSS-UHFFFAOYSA-N
"1H,1H,2H,2H-perfluoroktansulfonsyre (6:2 FTS)",Stressor,27619-97-2,VIONGDJUYAYOPU-UHFFFAOYSA-N,SAW,2661527,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-1-octanesulfonic acid",VIONGDJUYAYOPU-UHFFFAOYSA-N,TRUE,2661527,VIONGDJUYAYOPU-UHFFFAOYSA-N,VIONGDJUYAYOPU-UHFFFAOYSA-N
"1H,1H,2H,2H-perfluorheksansulfonsyre (4:2 FTS)",Stressor,757124-72-4,TXGIGTRUEITPSC-UHFFFAOYSA-N,SAW,2650619,"3,3,4,4,5,5,6,6,6-nonafluoro-1-hexanesulfonic acid",TXGIGTRUEITPSC-UHFFFAOYSA-N,TRUE,2650619,TXGIGTRUEITPSC-UHFFFAOYSA-N,NA
Cesium,Stressor,7440-46-2,TVFDJXOCXUVLDH-UHFFFAOYSA-N,SAW,2650020,cesium,TVFDJXOCXUVLDH-UHFFFAOYSA-N,TRUE,2650020,TVFDJXOCXUVLDH-UHFFFAOYSA-N,TVFDJXOCXUVLDH-UHFFFAOYSA-N
PBDE77,Stressor,93703-48-1,RYGLOWMCGZHYRQ-UHFFFAOYSA-N,SAW,2641475,"3,3',4,4'-tetrabromodiphenyl ether",RYGLOWMCGZHYRQ-UHFFFAOYSA-N,TRUE,2641475,RYGLOWMCGZHYRQ-UHFFFAOYSA-N,RYGLOWMCGZHYRQ-UHFFFAOYSA-N
Beryllium,Stressor,7440-41-7,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,SAW,2640846,beryllium dihydride,RWASOQSEFLDYLC-UHFFFAOYSA-N,FALSE,NA,ATBAMAFKBVZNFJ-UHFFFAOYSA-N,ATBAMAFKBVZNFJ-UHFFFAOYSA-N
Heptaklorepoksid,Stressor,1024-57-3,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,SAW,2763890,"(2R,3S,5S,6R,7S,8R)-1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene",ZXFXBSWRVIQKOD-HWKPLSEASA-N,FALSE,NA,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,ZXFXBSWRVIQKOD-UHFFFAOYSA-N
Trikresylfosfat (TCrP),Stressor,1330-78-5,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,SAW,2763935,tri-cresyl phosphate (mix of isomers),IUJIYUAKFBGBCG-UHFFFAOYSA-N,FALSE,NA,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,BOSMZFBHAYFUBJ-UHFFFAOYSA-N
PCB101,Stressor,37680-73-2,LAHWLEDBADHJGA-UHFFFAOYSA-N,SAW,NA,NA,NA,FALSE,NA,LAHWLEDBADHJGA-UHFFFAOYSA-N,LAHWLEDBADHJGA-UHFFFAOYSA-N
PCB153,Stressor,35065-27-1,MVWHGTYKUMDIHL-UHFFFAOYSA-N,SAW,NA,NA,NA,FALSE,NA,MVWHGTYKUMDIHL-UHFFFAOYSA-N,MVWHGTYKUMDIHL-UHFFFAOYSA-N
Kortkjedete klorparafiner (C10-13),Stressor,85535-84-8,NA,SAW,NA,NA,NA,TRUE,NA,NA,NA
1-metylnaftalen,Stressor,90-12-0,QPUYECUOLPXSFR-UHFFFAOYSA-N,SAW,NA,NA,NA,FALSE,NA,QPUYECUOLPXSFR-UHFFFAOYSA-N,QPUYECUOLPXSFR-UHFFFAOYSA-N
PCB105,Stressor,32598-14-4,WIDHRBRBACOVOY-UHFFFAOYSA-N,SAW,NA,NA,NA,FALSE,NA,WIDHRBRBACOVOY-UHFFFAOYSA-N,WIDHRBRBACOVOY-UHFFFAOYSA-N
