STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD,MANUAL_CHECK,NOTE,NEW,Frequency
PBDE138,NA,CAS_182677-30-1,IZFQCEZFGCMHOM-UHFFFAOYSA-N,NA,NA,NA,NA
"2-Etylheksyl 2,3,4,5-tetrabrombenzoat",NA,CAS_183658-27-7,HVDXCGSGEQKWGB-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol BP,NA,CAS_1844-01-5,BATCUENAARTUKW-UHFFFAOYSA-N,NA,NA,NA,NA
"Krom, seksverdig",NA,CAS_18540-29-9,JOPOVCBBYLSVDA-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE66,NA,CAS_189084-61-5,DHUMTYRHKMCVAG-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE71,NA,CAS_189084-62-6,COPAGYRSCJVION-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE75,NA,CAS_189084-63-7,BWCNKMFFUGBFGB-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE100,NA,CAS_189084-64-8,NSKIRYMHNFTRLR-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE119,NA,CAS_189084-66-0,KXEOYBYEJCRPGB-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE181,NA,CAS_189084-67-1,GVNRIAPLVGNZPL-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE190,NA,CAS_189084-68-2,OUEYHQIMJGHOQN-UHFFFAOYSA-N,NA,NA,NA,NA
"Dibenzo[a,i]pyren",NA,CAS_189-55-9,TUGYIJVAYAHHHM-UHFFFAOYSA-N,NA,NA,NA,NA
"Dibenzo[a,h]pyren",NA,CAS_189-64-0,RXUSYFJGDZFVND-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[ghi]perylen,NA,CAS_191-24-2,GYFAGKUZYNFMBN-UHFFFAOYSA-N,NA,NA,NA,NA
"Dibenzo[a,e]pyren",NA,CAS_192-65-4,KGHMWBNEMFNJFZ-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[e]pyren,NA,CAS_192-97-2,TXVHTIQJNYSSKO-UHFFFAOYSA-N,NA,NA,NA,NA
"Indeno[1,2,3-cd]pyren",NA,CAS_193-39-5,SXQBHARYMNFBPS-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDD (D70),NA,CAS_19408-74-3,LGIRBUBHIWTVCK-UHFFFAOYSA-N,NA,NA,NA,NA
2-tert-butylhydroquinon,NA,CAS_1948-33-0,BGNXCDMCOKJUMV-UHFFFAOYSA-N,NA,NA,NA,NA
Perylen,NA,CAS_198-55-0,CSHWQDPOILHKBI-UHFFFAOYSA-N,NA,NA,NA,NA
4-n-heptylfenol,NA,CAS_1987-50-4,KNDDEFBFJLKPFE-UHFFFAOYSA-N,NA,NA,NA,NA
Jern(III),NA,CAS_20074-52-6,VTLYFUHAOXGGBS-UHFFFAOYSA-N,NA,NA,NA,NA
"3-(3,5-ditert-butyl-4-hydroksyfenyl)propionsyre (Fenozansyre)",NA,CAS_20170-32-5,WPMYUUITDBHVQZ-UHFFFAOYSA-N,NA,NA,NA,NA
7-Nitrobenz[a]antracen (7-NBAA),NA,CAS_20268-51-3,KOPVBVBUIYTJBG-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[ghi]fluoranten,NA,CAS_203-12-3,YEIHPPOCKIHUQJ-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[a]fluoranten,NA,CAS_203-33-8,OQDXASJSCOTNQS-UHFFFAOYSA-N,NA,NA,NA,NA
Dibromaldrin,NA,CAS_20389-65-5,SUSUGGDVAULJNM-UHFFFAOYSA-N,NA,NA,NA,NA
4-Nonylfenol dietoksylat (NP2EO),NA,CAS_20427-84-3,BLXVTZPGEOGTGG-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluorheksanol (4:2 FTOH)",NA,CAS_2043-47-2,JCMNMOBHVPONLD-UHFFFAOYSA-N,NA,NA,NA,NA
PCB209,NA,CAS_2051-24-3,ONXPZLFXDMAPRO-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[j]fluoranten,NA,CAS_205-82-3,KHNYNFUTFKJLDD-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorundekansyre (PFUnDA),NA,CAS_2058-94-8,SIDINRCMMRKXGQ-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[b]fluoranten,NA,CAS_205-99-2,FTOVXSOBNPWTSH-UHFFFAOYSA-N,NA,NA,NA,NA
Fluoranten,NA,CAS_206-44-0,GVEPBJHOBDJJJI-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[k]fluoranten,NA,CAS_207-08-9,HAXBIWFMXWRORI-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE154,NA,CAS_207122-15-4,VHNPZYZQKWIWOD-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE183,NA,CAS_207122-16-5,ILPSCQCLBHQUEM-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol E,NA,CAS_2081-08-5,HCNHNBLSNVSJTJ-UHFFFAOYSA-N,NA,NA,NA,NA
"Oktadecyl 3-(3,5-ditert-butyl-4-hydroksyfenyl)propionat (Irganox)",NA,CAS_2082-79-3,SSDSCDGVMJFTEQ-UHFFFAOYSA-N,NA,NA,NA,NA
Acenaftylen,NA,CAS_208-96-8,HXGDTGSAIMULJN-UHFFFAOYSA-N,NA,NA,NA,NA
Polyfenylmetylsiloksan,NA,CAS_2116-84-9,LINXHFKHZLOLEI-UHFFFAOYSA-N,NA,NA,NA,NA
Oktyldimetyl-p-aminobenzoat,NA,CAS_21245-02-3,WYWZRNAHINYAEF-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-Dimetyldocosylamin",NA,CAS_21542-96-1,ICZKASVWFUJTEI-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol P,NA,CAS_2167-51-3,GIXXQTYGFOHYPT-UHFFFAOYSA-N,NA,NA,NA,NA
Trifenylen,NA,CAS_217-59-4,SLGBZMMZGDRARJ-UHFFFAOYSA-N,NA,NA,NA,NA
Crysen,NA,CAS_218-01-9,WDECIBYCCFPHNR-UHFFFAOYSA-N,NA,NA,NA,NA
Tetrabromobisfenol A bis (dibrompropyl eter),NA,CAS_21850-44-2,LXIZRZRTWSDLKK-UHFFFAOYSA-N,NA,NA,NA,NA
Naproxen (legemiddel),NA,CAS_22204-53-1,CMWTZPSULFXXJA-VIFPVBQESA-N,NA,NA,NA,NA
Oktaklornaftalen,NA,CAS_2234-13-1,RTNLUFLDZOAXIC-UHFFFAOYSA-N,NA,NA,NA,NA
"2,3,5-trimetylnaftalen",NA,CAS_2245-38-7,JBXULKRNHAQMAS-UHFFFAOYSA-N,NA,NA,NA,NA
Metylkvikksølv,NA,CAS_22967-92-6,DBUXSCUEGJMZAE-UHFFFAOYSA-N,NA,NA,NA,NA
4-tert-Oktylfenol dietoksylat (OP2EO),NA,CAS_2315-61-9,LBCZOTMMGHGTPH-UHFFFAOYSA-N,NA,NA,NA,NA
4-tert-Oktylfenol trietoksylat (OP3EO),NA,CAS_2315-62-0,OLOHNJXENGJYTB-UHFFFAOYSA-N,NA,NA,NA,NA
4-tert-Oktylfenol monoetoksylat (OP1EO),NA,CAS_2315-67-5,JYCQQPHGFMYQCF-UHFFFAOYSA-N,NA,NA,NA,NA
Doksorubicin (legemiddel),NA,CAS_23214-92-8,AOJJSUZBOXZQNB-TZSSRYMLSA-N,NA,NA,NA,NA
N-metyl perfluoroktansulfonamido eddiksyre (Me-FOSAA),NA,CAS_2355-31-9,QNDHIRFIMVNHBN-UHFFFAOYSA-N,NA,NA,NA,NA
Dekloran (Mirex),NA,CAS_2385-85-5,GVYLCNUFSHDAAW-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[a]fluoren,NA,CAS_238-84-6,HKMTVMBEALTRRR-UHFFFAOYSA-N,NA,NA,NA,NA
2-Etoksy-2'-etyloksanilid (UV-312),NA,CAS_23949-66-8,YIMHRDBSVCPJOV-UHFFFAOYSA-N,NA,NA,NA,NA
Monofenyltinn kation (MPhT),NA,CAS_2406-68-0,JDWJZEXJARCHAT-UHFFFAOYSA-N,NA,NA,NA,NA
2-Heksyldekanol,NA,CAS_2425-77-6,XULHFMYCBKQGEE-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[b]fluoren,NA,CAS_243-17-4,HAPOJKSPCGLOOD-UHFFFAOYSA-N,NA,NA,NA,NA
1-Hydroksyfenantren,NA,CAS_2433-56-9,GTBXZWADMKOZQJ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB47,NA,CAS_2437-79-8,QORAVNMWUNPXAO-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE49,NA,CAS_243982-82-3,QWVDUBDYUPHNHY-UHFFFAOYSA-N,NA,NA,NA,NA
N-metyl perfluoroktansulfonamid etanol (N-MeFOSE),NA,CAS_24448-09-7,PLGACQRCZCVKGK-UHFFFAOYSA-N,NA,NA,NA,NA
"2,2'-Bisfenol F",NA,CAS_2467-02-9,MQCPOLNSJCWPGT-UHFFFAOYSA-N,NA,NA,NA,NA
"2,4'-Bisfenol F",NA,CAS_2467-03-0,LVLNPXCISNPHLE-UHFFFAOYSA-N,NA,NA,NA,NA
Butylert hydroksyanisol,NA,CAS_25013-16-5,MRBKEAMVRSLQPH-UHFFFAOYSA-N,NA,NA,NA,NA
Polykarbonat,NA,CAS_25037-45-0,PWULOAPIBVMKBN-UHFFFAOYSA-N,NA,NA,NA,NA
Polyamid 6 (Nylon 6),NA,CAS_25038-54-4,ALBYIUDWACNRRB-UHFFFAOYSA-N,NA,NA,NA,NA
Polyetylentereftalat,NA,CAS_25038-59-9,FYIBGDKNYYMMAG-UHFFFAOYSA-N,NA,NA,NA,NA
Nonylfenol,NA,CAS_25154-52-3,SNQQPOLDUKLAAF-UHFFFAOYSA-N,NA,NA,NA,NA
Trixylylfosfat,NA,CAS_25155-23-1,LLPMAOBOEQFPRE-UHFFFAOYSA-N,NA,NA,NA,NA
Dodecylbenzensulfonat (C12),NA,CAS_25155-30-0,HOXWFOVSCUWIEH-UHFFFAOYSA-M,NA,NA,NA,NA
2-[[(heptadekafluoroktyl)sulfonyl]metylamino]etyl akrylat) (N-MeFOSEA),NA,CAS_25268-77-3,GTPCZYUMOVUFSW-UHFFFAOYSA-N,NA,NA,NA,NA
Dibutylfenylfosfat (DBPhP),NA,CAS_2528-36-1,YICSVBJRVMLQNS-UHFFFAOYSA-N,NA,NA,NA,NA
2-metylfenantren,NA,CAS_2531-84-2,KANLOADZXMMCQA-UHFFFAOYSA-N,NA,NA,NA,NA
Sum diklorbenzen (alle isomere),Stressor,CAS_25321-22-6,RFFLAFLAYFXFSW-UHFFFAOYSA-N,NA,Mixture,NA,NA
Sum Triklorbifenyl,Stressor,CAS_25323-68-6,IUYHQGMDSZOPDZ-UHFFFAOYSA-N,NA,Mixture,NA,NA
"2,2',6,6'-Tetrabrombisfenol A diallyleter",NA,CAS_25327-89-3,PWXTUWQHMIFLKL-UHFFFAOYSA-N,NA,NA,NA,NA
Sum Pentaklorbifenyl,Stressor,CAS_25429-29-2,GGMPTLAAIUQMIE-UHFFFAOYSA-N,NA,Mixture,NA,NA
"1,3,5,7,9,11-HBCDD",NA,CAS_25637-99-4,LEOCKULGXOQRTQ-UHFFFAOYSA-N,NA,NA,NA,NA
"Tri(3,5-dimetylfenyl) fosfat",NA,CAS_25653-16-1,LLPMAOBOEQFPRE-UHFFFAOYSA-N,NA,NA,NA,NA
UV-328,NA,CAS_25973-55-1,ZMWRRFHBXARRRT-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(2-etylheksyl)tetrabromftalat,NA,CAS_26040-51-7,UUEDINPOVKWVAZ-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-Dimetyldecylamin N-oksid",NA,CAS_2605-79-0,ZRKZFNZPJKEWPC-UHFFFAOYSA-N,NA,NA,NA,NA
Tridecylbenzensulfonat (C13),NA,CAS_26248-24-8,DUXXGJTXFHUORE-UHFFFAOYSA-M,NA,NA,NA,NA
Sum Heksaklorbifenyl,Stressor,CAS_26601-64-9,RUEIBQJFGMERJD-UHFFFAOYSA-N,NA,Mixture,NA,NA
Diisodecylftalat,NA,CAS_26761-40-0,ZVFDTKUVRCTHQE-UHFFFAOYSA-N,NA,NA,NA,NA
Amoksicillin (legemiddel),NA,CAS_26787-78-0,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,NA,NA,NA,NA
Sum Tetraklorbifenyl,Stressor,CAS_26914-33-0,HLQDGCWIOSOMDP-UHFFFAOYSA-N,NA,Mixture,NA,NA
Tris(4-isopropylfenyl) fosfat,NA,CAS_26967-76-0,JFUPPPQAMSJQBF-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorpentansyre (PFPeA),NA,CAS_2706-90-3,CXZGQIAOTKWCDB-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorpentansulfonsyre (PFPS),NA,CAS_2706-91-4,ACEKLXZRZOWKRY-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,4-trimetylnaftalen",NA,CAS_2717-42-2,JCNGSJUYPCVGAM-UHFFFAOYSA-N,NA,NA,NA,NA
Nonylfenol dietoksylat,NA,CAS_27176-93-8,RRLGETDMEIMLQU-UHFFFAOYSA-N,NA,NA,NA,NA
Dodecylfenol,NA,CAS_27193-86-8,CYEJMVLDXAUOPN-UHFFFAOYSA-N,NA,NA,NA,NA
Oksyklordan,NA,CAS_27304-13-8,VWGNQYSIWFHEQU-KGEUUOKHSA-N,NA,NA,NA,NA
Tinopal (FB-351),NA,CAS_27344-41-8,PMPJQLCPEQFEJW-UHFFFAOYSA-L,NA,NA,NA,NA
Butyldifenylfosfat (DPhBP),NA,CAS_2752-95-6,DIBUFQMCUZYQKN-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluoroktansulfonsyre (6:2 FTS)",NA,CAS_27619-97-2,VIONGDJUYAYOPU-UHFFFAOYSA-N,NA,NA,NA,NA
Undecylbenzensulfonat (C11),NA,CAS_27636-75-5,CZPODFALZXLJJI-UHFFFAOYSA-M,NA,NA,NA,NA
Benzyltoluen,NA,CAS_27776-01-8,PQTAUFTUHHRKSS-UHFFFAOYSA-N,NA,NA,NA,NA
"2H,2H-Perfluordekansyre (8:2 FTCA)",NA,CAS_27854-31-5,XTBXSCIWOVSSGB-UHFFFAOYSA-N,NA,NA,NA,NA
Nonylfenol monoetoksylat,NA,CAS_27986-36-3,IEORSVTYLWZQJQ-UHFFFAOYSA-N,NA,NA,NA,NA
trans-Heptaklorepoksid,NA,CAS_28044-83-9,ZXFXBSWRVIQKOD-WOBUKFROSA-N,NA,NA,NA,NA
Perfluoroktansulfonamid eddiksyre (FOSAA),NA,CAS_2806-24-8,AYLOUUCBACYHAB-UHFFFAOYSA-N,NA,NA,NA,NA
Irgarol,NA,CAS_28159-98-0,HDHLIWCXDDZUFH-UHFFFAOYSA-N,NA,NA,NA,NA
Ditolyleter,NA,CAS_28299-41-4,CYXMOAZSOPXQOD-UHFFFAOYSA-N,NA,NA,NA,NA
Diisononylftalat,NA,CAS_28553-12-0,HBGGXOJOCNVPFY-UHFFFAOYSA-N,NA,NA,NA,NA
C3-Naftalener,NA,CAS_28652-77-9,XYTKCJHHXQVFCK-UHFFFAOYSA-N,NA,NA,NA,NA
Sum Heptaklorbifenyl,Stressor,CAS_28655-71-2,PAYFWJAKKLILIT-UHFFFAOYSA-N,NA,Mixture,NA,NA
Bromadiolon,NA,CAS_28772-56-7,OWNRRUFOJXFKCU-UHFFFAOYSA-N,NA,NA,NA,NA
C2-Naftalener,NA,CAS_28804-88-8,QNLZIZAQLLYXTC-UHFFFAOYSA-N,NA,NA,NA,NA
Oktaklorstyren,NA,CAS_29082-74-4,RUYUCCQRWINUHE-UHFFFAOYSA-N,NA,NA,NA,NA
Klorpyrifos,NA,CAS_2921-88-2,SBPBAQFWLVIOKP-UHFFFAOYSA-N,NA,NA,NA,NA
Isopropylnaftalen,NA,CAS_29253-36-9,PMPBFICDXLLSRM-UHFFFAOYSA-N,NA,NA,NA,NA
SN-diPAP (FC 807),NA,CAS_2965-52-8,BZZAKKWGRKFWJJ-UHFFFAOYSA-N,NA,NA,NA,NA
Isodecyldifenylfosfat,NA,CAS_29761-21-5,RYUJRXVZSJCHDZ-UHFFFAOYSA-N,NA,NA,NA,NA
2-(Trifluormetyl)-3-etoksydodekafluorheksan,NA,CAS_297730-93-9,HHBBIOLEJRWIGU-UHFFFAOYSA-N,NA,NA,NA,NA
Isobenzan,NA,CAS_297-78-9,LRWHHSXTGZSMSN-UHFFFAOYSA-N,NA,NA,NA,NA
Carbamazepin (legemiddel),NA,CAS_298-46-4,FFGPTBGBLSHEPO-UHFFFAOYSA-N,NA,NA,NA,NA
N-etyl perfluoroktansulfonamid eddiksyre (Et-FOSAA),NA,CAS_2991-50-6,CKRXVVGETMYFIO-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorbutansulfonamid,NA,CAS_30334-69-1,FUVKFLJWBHVMHX-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorheksansyre (PFHxA),NA,CAS_307-24-4,PXUULQAPEKKVAH-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluordodekansyre (PFDoDA),NA,CAS_307-55-1,CXGONMQFMIYUJR-UHFFFAOYSA-N,NA,NA,NA,NA
Aldrin,NA,CAS_309-00-2,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,NA,NA,NA,NA
Monooktyltinntriklorid,NA,CAS_3091-25-6,INTLMJZQCBRQAT-UHFFFAOYSA-K,NA,NA,NA,NA
Dekloran 602,NA,CAS_31107-44-5,CDBKZZACXQLFMK-UHFFFAOYSA-N,NA,NA,NA,NA
UV-329,NA,CAS_3147-75-9,IYAZLDLPUNDVAG-UHFFFAOYSA-N,NA,NA,NA,NA
N-metyl oktansulfonamid (N-MeFOSA),NA,CAS_31506-32-8,SRMWNTGHXHOWBT-UHFFFAOYSA-N,NA,NA,NA,NA
PCB118,NA,CAS_31508-00-6,IUTPYMGCWINGEY-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,5,6,9,10-HBCDD",NA,CAS_3194-55-6,DEIGXXQKDWULML-UHFFFAOYSA-N,NA,NA,NA,NA
a-HCH,NA,CAS_319-84-6,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,NA,NA,NA,NA
b-HCH,NA,CAS_319-85-7,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,NA,NA,NA,NA
d-HCH,NA,CAS_319-86-8,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,NA,NA,NA,NA
N-fenyl-4-difenylamin,NA,CAS_32228-99-2,YGNUPJXMDOFFDO-UHFFFAOYSA-N,NA,NA,NA,NA
Heptaklornaftalen,NA,CAS_32241-08-0,QYEGXUUXWMKHHS-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol FL,NA,CAS_3236-71-3,YWFPGFJLYRKYJZ-UHFFFAOYSA-N,NA,NA,NA,NA
Acetylcedrene,NA,CAS_32388-55-9,YBUIAJZFOGJGLJ-SWRJLBSHSA-N,NA,NA,NA,NA
Sum PentaBDE,Stressor,CAS_32534-81-9,NA,NA,Mixture,NA,NA
Sum OktaBDE,Stressor,CAS_32536-52-0,ORYGKUIDIMIRNN-UHFFFAOYSA-N,NA,Mixture,NA,NA
Tetrabromtalimidetan,NA,CAS_32588-76-4,DYIZJUDNMOIZQO-UHFFFAOYSA-N,NA,NA,NA,NA
PCB66,NA,CAS_32598-10-0,RKLLTEAEZIJBAU-UHFFFAOYSA-N,NA,NA,NA,NA
PCB70,NA,CAS_32598-11-1,KENZYIHFBRWMOD-UHFFFAOYSA-N,NA,NA,NA,NA
PCB77,NA,CAS_32598-13-3,UQMGJOKDKOLIDP-UHFFFAOYSA-N,NA,NA,NA,NA
PCB105,NA,CAS_32598-14-4,WIDHRBRBACOVOY-UHFFFAOYSA-N,NA,NA,NA,NA
OCDD (D75),NA,CAS_3268-87-9,FOIBFBMSLDGNHL-UHFFFAOYSA-N,NA,NA,NA,NA
PCB74,NA,CAS_32690-93-0,TULCXSBAPHCWCF-UHFFFAOYSA-N,NA,NA,NA,NA
PCB169,NA,CAS_32774-16-6,ZHLICBPIXDOFFG-UHFFFAOYSA-N,NA,NA,NA,NA
TBP-AE (ATE),NA,CAS_3278-89-5,RZLLIOPGUFOWOD-UHFFFAOYSA-N,NA,NA,NA,NA
Pivmecillinam (legemiddel),NA,CAS_32886-97-8,NPGNOVNWUSPMDP-HLLBOEOZSA-N,NA,NA,NA,NA
Diuron,NA,CAS_330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,NA,NA,NA,NA
Paclitaxel (legemiddel),NA,CAS_33069-62-4,RCINICONZNJXQF-VAZQATRQSA-N,NA,NA,NA,NA
beta-Endosulfan,NA,CAS_33213-65-9,RDYMFSUJUZBWLH-LLXUDWAZSA-N,NA,NA,NA,NA
alfa-TBECH,NA,CAS_3322-93-8,PQRRSJBLKOPVJV-UHFFFAOYSA-N,NA,NA,NA,NA
beta-TBECH,NA,CAS_3322-93-8,PQRRSJBLKOPVJV-UHFFFAOYSA-N,NA,NA,NA,NA
gamma-TBECH,NA,CAS_3322-93-8,PQRRSJBLKOPVJV-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-dimetyltetradecylamin N-oksid",NA,CAS_3332-27-2,ONHFWHCMZAJCFB-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluoroktansyre (PFOA),NA,CAS_335-67-1,SNGREZUHAYWORS-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluordekansyre (PFDA),NA,CAS_335-76-2,PCIUEQPBYFRTEM-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluordekansulfonsyre (PFDS),NA,CAS_335-77-3,HYWZIAVPBSTISZ-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE203,NA,CAS_337513-72-1,RTUZOQFRIPIWPS-UHFFFAOYSA-N,NA,NA,NA,NA
Triclosan,NA,CAS_3380-34-5,XEFQLINVKFYRCS-UHFFFAOYSA-N,NA,NA,NA,NA
Isoproturon,NA,CAS_34123-59-6,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,NA,NA,NA,NA
op'-DDE,NA,CAS_3424-82-6,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,NA,NA,NA,NA
Solvent yellow 124,NA,CAS_34432-92-3,BATVZJPOLFSGTD-WCWDXBQESA-N,NA,NA,NA,NA
Dekloran 604,NA,CAS_34571-16-9,OFMIYVOTMGHOEI-UHFFFAOYSA-N,NA,NA,NA,NA
"2H,2H,3H,3H-perfluorundekansyre (H4PFUnA)",NA,CAS_34598-33-9,JZRCRCFPVAXHHQ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB153,NA,CAS_35065-27-1,MVWHGTYKUMDIHL-UHFFFAOYSA-N,NA,NA,NA,NA
PCB138,NA,CAS_35065-28-2,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB180,NA,CAS_35065-29-3,WBHQEUPUMONIKF-UHFFFAOYSA-N,NA,NA,NA,NA
PCB170,NA,CAS_35065-30-6,RMPWIIKNWPVWNG-UHFFFAOYSA-N,NA,NA,NA,NA
TBP-DPBE (DPTE),NA,CAS_35109-60-5,QXWYPAKUEHGJSG-UHFFFAOYSA-N,NA,NA,NA,NA
Diflubenzuron,NA,CAS_35367-38-5,QQQYTWIFVNKMRW-UHFFFAOYSA-N,NA,NA,NA,NA
Dioktyltinndiklorid,NA,CAS_3542-36-7,SBOSGIJGEHWBKV-UHFFFAOYSA-L,NA,NA,NA,NA
Perfluorheksansulfonsyre (PFHxS),NA,CAS_355-46-4,QZHDEAJFRJCDMF-UHFFFAOYSA-N,NA,NA,NA,NA
Dimetyl-N-fenylfluorenamin,NA,CAS_355832-04-1,RFTRFDMRINNTSI-UHFFFAOYSA-N,NA,NA,NA,NA
PCB52,NA,CAS_35693-99-3,HCWZEPKLWVAEOV-UHFFFAOYSA-N,NA,NA,NA,NA
PCB194,NA,CAS_35694-08-7,DTMRKGRREZAYAP-UHFFFAOYSA-N,NA,NA,NA,NA
HpCDD (D73),NA,CAS_35822-46-9,WCLNVRQZUKYVAI-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE156,NA,CAS_35854-94-5,HRSCBOSGEKXXSI-UHFFFAOYSA-N,NA,NA,NA,NA
UV-350,NA,CAS_36437-37-3,RTNVDKBRTXEWQE-UHFFFAOYSA-N,NA,NA,NA,NA
Sum HeksaBDE,Stressor,CAS_36483-60-0,YURCHLXPAGSJHU-UHFFFAOYSA-N,NA,Mixture,NA,NA
Tributyltinn kation (TBT),NA,CAS_36643-28-4,LSKGFBJLYWXIOF-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE126,NA,CAS_366791-32-4,SJNIIWPIAVQNRK-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorbutansyre (PFBA),NA,CAS_375-22-4,YPJUNDFVDDCYIH-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorbutansulfonsyre (PFBS),NA,CAS_375-73-5,JGTNAGYHADQMCM-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorheptansyre (PFHpA),NA,CAS_375-85-9,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorheptansulfonsyre (PFHpS),NA,CAS_375-92-8,OYGQVDSRYXATEL-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluornonansyre (PFNA),NA,CAS_375-95-1,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluortetradekansyre (PFTeDA),NA,CAS_376-06-7,RUDINRUXCKIXAJ-UHFFFAOYSA-N,NA,NA,NA,NA
5H-Perfluorpentansyre (5H-PFPeA),NA,CAS_376-72-7,VGFKXVSMDOKOJZ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB18,NA,CAS_37680-65-2,DCMURXAZTZQAFB-UHFFFAOYSA-N,NA,NA,NA,NA
PCB101,NA,CAS_37680-73-2,LAHWLEDBADHJGA-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluor-3-metoksypropansyre (13-PFECA),NA,CAS_377-73-1,AGIMOOYNBDLMJV-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2-Bis(2,4,6-tribromfenoksy)etan",NA,CAS_37853-59-1,YATIGPZCMOYEGE-UHFFFAOYSA-N,NA,NA,NA,NA
V6,NA,CAS_38051-10-4,ZGHUDSLVQAGWEY-UHFFFAOYSA-N,NA,NA,NA,NA
PCB95,NA,CAS_38379-99-6,GXNNLIMMEXHBKV-UHFFFAOYSA-N,NA,NA,NA,NA
PCB99,NA,CAS_38380-01-7,LMQJBFRGXHMNOX-UHFFFAOYSA-N,NA,NA,NA,NA
PCB110,NA,CAS_38380-03-9,ARXHIJMGSIYYRZ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB149,NA,CAS_38380-04-0,LKHLFUVHHXCNJH-UHFFFAOYSA-N,NA,NA,NA,NA
PCB128,NA,CAS_38380-07-3,BTAGRXWGMYTPBY-UHFFFAOYSA-N,NA,NA,NA,NA
PCB156,NA,CAS_38380-08-4,LCXMEXLGMKFLQO-UHFFFAOYSA-N,NA,NA,NA,NA
PCB174,NA,CAS_38411-25-5,ZDLMBNHYTPHDLF-UHFFFAOYSA-N,NA,NA,NA,NA
PCB26,NA,CAS_38444-81-4,ONNCPBRWFSKDMQ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB33,NA,CAS_38444-86-9,RIMXLXBUOQMDHV-UHFFFAOYSA-N,NA,NA,NA,NA
